wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
00056907-n,migration from a place (especially migration from your native country in order to settle in another),i35700,emigration|out-migration|expatriation,Q187668
00160216-n,inducement (as of a public official) by improper means (as bribery) to violate duty (as by committing a felony),i36249,corruption,Q366
00213054-n,withdrawal from your position or occupation,i36519,retirement,Q946865
00479273-n,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904,soccer|association football,Q2736
00612961-n,the profession of reporting or photographing or editing news stories for one of the media,i38640,journalism,Q11030
00828342-n,a Korean martial art similar to karate,i39748,tae kwon do|taekwondo,Q36389
01249244-n,a surprise attack involving the deliberate use of violence against civilians in the hope of attaining political or religious aims,i41928,terrorist attack,Q2223653
90002371-n,torture where water is poured over the face of a captive simulating drowning,?,waterboarding,Q2552748
90015801-n,A mechanism used to limit access to only paying users,?,paywall,Q910845
01333493-n,the RNA virus that causes Lassa fever,i42344,Lassa virus,Q1806636
01335581-n,the flavivirus that causes West Nile encephalitis,i42357,West Nile virus|West Nile encephalitis virus,Q158856
01352867-n,a species of bacillus that causes anthrax in humans and in animals (cattle and swine and sheep and rabbits and mice and guinea pigs); can be used a bioweapon,i42424,Bacillus anthracis|anthrax bacillus,Q614156
01353126-n,a species of bacillus found in soil and decomposing organic matter; some strains produce antibiotics,i42425,Bacillus subtilis|Bacillus globigii|grass bacillus|hay bacillus,Q10424114
01353342-n,a bacillus bacterium that causes the plague; aerosolized bacteria can be used as a bioweapon,i42426,Yersinia pestis,Q153875
01363754-n,causes brown rot in tomatoes and potatoes and tobacco etc,i42470,ring rot bacteria|Pseudomonas solanacearum,Q22112649
01367113-n,bacteria that cause abortion in sheep,i42491,Vibrio fetus,Q129574636
01367763-n,a genus of bacterial rods containing only the one species that causes granuloma inguinale,i42494,Calymmatobacterium|genus Calymmatobacterium,Q62643569
01368115-n,a genus of Gram-negative aerobic bacteria that occur as pathogens and parasite in many animals (including humans),i42496,Francisella|genus Francisella,Q3246268
01370979-n,a species of bacterium normally present in intestinal tract of humans and other animals; sometimes pathogenic; can be a threat to food safety,i42510,Escherichia coli|E. coli,Q25419
01372125-n,a form of salmonella that causes typhoid fever,i42517,typhoid bacillus|Salmonella typhosa|Salmonella typhi,Q22111431
01373106-n,a bacillus that causes dysentery,i42522,shiga bacillus|Shigella dysenteriae,Q265094
01375585-n,bacteria responsible for the sexually transmitted disease chlamydia,i42537,Chlamydia psittaci|C. psittaci,Q62869749
