wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid,wn_qid_candidate,qid_count_original,wd_label,wd_parent,wd_description
12621867-n,twining perennial vine having racemes of fragrant greenish flowers; western China to Russia,i103109,silver lace vine|China fleece vine|Russian vine|Polygonum aubertii,Q11093157|Q10350936,Q10350936,2,Polygonum aubertii,Polygonum,species of plant
12433924-n,German iris having large white flowers with lavender-tinged falls and a fragrant rhizome,i102232,Florentine iris|orris|Iris germanica florentina|Iris florentina,Q16120935|Q104250895,Q104250895,2,Iris florentina,Iris,species of plant
13042303-n,a large white agaric; edible but not palatable,i105169,Clitocybe robusta|Clytocybe alba,Q107977878|Q10455220,Q10455220,2,Clitocybe robusta,Clitocybe,species of fungus
13260075-n,twining woody vine of Madagascar having thick dark waxy evergreen leaves and clusters of large fragrant waxy white flowers along the stems; widely cultivated in warm regions,i106214,Madagascar jasmine|waxflower|Stephanotis floribunda,Q10475339|Q1786657,Q10475339,2,Marsdenia floribunda,Marsdenia,species of plant
13069692-n,a dingy yellow brown fungus with a rough stalk that superficially resembles a bolete,i105300,Gastroboletus scabrosus,Q10503330|Q59518784,Q10503330,2,Gastroleccinum scabrosum,Gastroleccinum,species of fungus
13042627-n,an edible white agaric that fruits in dense clusters; the gills are narrow and crowded and the stalk is fleshy and unpolished,i105171,Clitocybe subconnexa,Q10557728|Q59534250,Q10557728,2,Lepista subconnexa,Lepista,species of fungus
02609381-n,a blue and yellow damselfish of Bermuda and Florida and the West Indies,i49408,beaugregory|Pomacentrus leucostictus,Q738910|Q106410671,Q106410671,2,Pomacentrus leucostictus,Pomacentrus,species of fish
02653043-n,a kind of gurnard,i49663,tub gurnard|yellow gurnard|Trigla lucerna,Q630618|Q106430314,Q106430314,2,Trigla lucerna,Trigla,species of fish
01504418-n,most plentiful skate in North American inshore waters in summer; to 21 inches,i43199,little skate|Raja erinacea,Q1913942|Q106445138,Q106445138,2,Raja erinacea,Raja,
01838559-n,large whippoorwill-like bird of the southern United States,i44983,chuck-will's-widow|Caprimulgus carolinensis,Q1262147|Q106447031,Q106447031,2,Caprimulgus carolinensis,Caprimulgus,species of birds
02061401-n,a variety of albatross with black feet,i46219,black-footed albatross|gooney|gooney bird|goonie|goony|Diomedea nigripes,Q600319|Q106447851,Q106447851,2,Diomedea nigripes,Diomedea,species of bird
12724616-n,perennial herb of eastern North America with palmately compound leaves and usually rose-purple flowers,i103617,violet wood sorrel|Oxalis violacea,Q15346873|Q1067933,Q1067933,2,violet wood-sorrel,Oxalis,species of plant
12089718-n,orchid with slender nearly leafless reddish-brown stems with loose racemes of reddish-brown flowers; of open brushy woods of southeastern Arizona and central Texas,i100588,Texas purple spike|Hexalectris warnockii,Q106899649|Q15467896,Q106899649,2,Bletia warnockii,Bletia,
11631053-n,very small tree similar to Rocky mountain pinon but having a single needle per fascicle; similar to Parry's pinyon in range,i98395,California single-leaf pinyon|Pinus californiarum,Q21384176|Q106918872,Q106918872,2,Pinus californiarum,Pinus,
02578221-n,large blue Pacific remora that attaches to whales and dolphins,i49227,whale sucker|whalesucker|Remilegia australis,Q850041|Q107328425,Q107328425,2,Remilegia australis,Remilegia,species of fish
